model,function,offset,city,mean_absolute_error,mean_squared_error,time
MLPRegressor,mean,7,León,0.09362761074347452,0.013389100472310863,2393617036.0
MLPRegressor,mean,7,Morelia,0.22455385446610368,0.06395544653486321,2622944341.0
MLPRegressor,mean,7,Reynosa,0.09916747877499722,0.022447189047467096,2412086867.0
MLPRegressor,mean,7,Tijuana,0.12030155725471517,0.020405730537181366,2667409386.0
MLPRegressor,mean,8,Acapulco de Juárez,0.15813992745667413,0.03922779999081314,3075573133.0
MLPRegressor,mean,8,Benito Juárez,0.12203341838649741,0.02018189346697777,2863461162.0
MLPRegressor,mean,8,Centro,0.171367606494765,0.04840144514173778,2712063060.0
MLPRegressor,mean,8,Chihuahua,0.13779475095371002,0.0266620268175961,4088464074.0
MLPRegressor,mean,8,Cuauhtémoc,0.19934117044087082,0.055630886011215776,3552732860.0
MLPRegressor,mean,8,Culiacán,0.21225449991281775,0.06338187556856825,3583011717.0
MLPRegressor,mean,8,Ecatepec de Morelos,0.1086738284360833,0.017505730492790212,2803760630.0
MLPRegressor,mean,8,Guadalajara,0.1908782268697487,0.05448341451456139,1967711200.0
MLPRegressor,mean,8,Irapuato,0.15030645442191884,0.029069181247714335,2667226595.0
MLPRegressor,mean,8,Iztapalapa,0.1447191414504551,0.037955733008688486,2291161522.0
MLPRegressor,mean,8,Juárez,0.15870565586271648,0.03885808252700163,2531588656.0
MLPRegressor,mean,8,León,0.0685195067148393,0.00833897225395577,2944642661.0
MLPRegressor,mean,8,Morelia,0.19855253107886883,0.04784537900208211,3020445946.0
MLPRegressor,mean,8,Reynosa,0.09393546057539816,0.013731204083925912,2796150434.0
MLPRegressor,mean,8,Tijuana,0.11792813009353312,0.019820852967101402,2915787733.0
MLPRegressor,mean,9,Acapulco de Juárez,0.14620792408404698,0.03155562423075177,2667994924.0
MLPRegressor,mean,9,Benito Juárez,0.14421850173105946,0.028928739524836846,3200195900.0
MLPRegressor,mean,9,Centro,0.18264393468328494,0.055458123515263184,3075851066.0
MLPRegressor,mean,9,Chihuahua,0.11284856930121996,0.018934106754811542,2714749205.0
MLPRegressor,mean,9,Cuauhtémoc,0.17260290172171755,0.04370656977905032,2596659643.0
MLPRegressor,mean,9,Culiacán,0.23673235762693462,0.09637183768551086,2048612034.0
MLPRegressor,mean,9,Ecatepec de Morelos,0.11136608390888639,0.022473200348744022,2389999089.0
MLPRegressor,mean,9,Guadalajara,0.20819728512362126,0.061563636162023545,1687686532.0
MLPRegressor,mean,9,Irapuato,0.17380390516246014,0.04573985196661649,2887812429.0
MLPRegressor,mean,9,Iztapalapa,0.17997027052740522,0.053456765826343934,2816514069.0
MLPRegressor,mean,9,Juárez,0.1527328320915603,0.03234119159583666,2297788176.0
MLPRegressor,mean,9,León,0.15139293990268554,0.031826520286205404,2418861716.0
MLPRegressor,mean,9,Morelia,0.19311567818757594,0.05070353320562328,2745821693.0
MLPRegressor,mean,9,Reynosa,0.12075446183922302,0.020771281496503247,1902906965.0
MLPRegressor,mean,9,Tijuana,0.15911152706475448,0.03582049531685265,2769067278.0
MLPRegressor,mean,10,Acapulco de Juárez,0.1587858311360245,0.03995808805866347,3375561256.0
MLPRegressor,mean,10,Benito Juárez,0.1177497598335674,0.019110466539432484,3282561738.0
MLPRegressor,mean,10,Centro,0.18501077857441145,0.055551469625251086,3340861875.0
MLPRegressor,mean,10,Chihuahua,0.10642190538011771,0.020207335803763143,3150531840.0
MLPRegressor,mean,10,Cuauhtémoc,0.20715099468609835,0.06657854676814082,2875414307.0
